Variable,FH,Cuantil,Freq_obs
S0,1,0.1,10.791691751956654
S0,1,0.2,22.065021071643585
S0,1,0.30000000000000004,32.615894039735096
S0,1,0.4,42.71523178807947
S0,1,0.5,51.332028898254066
S0,1,0.6,59.866044551475014
S0,1,0.7000000000000001,68.86664659843468
S0,1,0.8,78.77031908488861
S0,1,0.9,88.94491270319085
S0,2,0.1,11.680590050425229
S0,2,0.2,22.081734025739443
S0,2,0.30000000000000004,32.603296455181756
S0,2,0.4,42.966809663580946
S0,2,0.5,51.75735681493189
S0,2,0.6,59.78776247459924
S0,2,0.7000000000000001,69.05245728907956
S0,2,0.8,78.98697975464741
S0,2,0.9,89.17739143523745
S0,3,0.1,11.666415776004817
S0,3,0.2,22.203823573686588
S0,3,0.30000000000000004,32.417582417582416
S0,3,0.4,42.64639470118922
S0,3,0.5,51.27954237543278
S0,3,0.6,59.51377389733554
S0,3,0.7000000000000001,68.65121180189674
S0,3,0.8,78.94776456420291
S0,3,0.9,89.04862261026645
S0,4,0.1,11.968385397064358
S0,4,0.2,22.453895370718858
S0,4,0.30000000000000004,32.013549115543846
S0,4,0.4,42.62702295822356
S0,4,0.5,50.914565299209634
S0,4,0.6,59.92472713586751
S0,4,0.7000000000000001,69.01016183665789
S0,4,0.8,78.87843432442605
S0,4,0.9,89.16070756492284
S0,5,0.1,11.675700090334237
S0,5,0.2,22.00391448358928
S0,5,0.30000000000000004,31.918096958747366
S0,5,0.4,42.080698584763624
S0,5,0.5,51.068955133995786
S0,5,0.6,59.929238181270705
S0,5,0.7000000000000001,69.08310749774165
S0,5,0.8,78.92201144233665
S0,5,0.9,88.70069256248118
S1,1,0.1,10.791691751956654
S1,1,0.2,21.673690547862734
S1,1,0.30000000000000004,32.615894039735096
S1,1,0.4,42.78296207104154
S1,1,0.5,51.34708007224563
S1,1,0.6,59.72305839855508
S1,1,0.7000000000000001,68.9118001204094
S1,1,0.8,78.72516556291392
S1,1,0.9,88.89975918121613
S1,2,0.1,11.387070068487997
S1,2,0.2,21.931210958079326
S1,2,0.30000000000000004,32.80650259652292
S1,2,0.4,43.13238503800708
S1,2,0.5,51.60683374727177
S1,2,0.6,59.855497855046295
S1,2,0.7000000000000001,69.32339881086776
S1,2,0.8,78.78377361330624
S1,2,0.9,88.93655452698125
S1,3,0.1,11.591148577449948
S1,3,0.2,22.12102965527623
S1,3,0.30000000000000004,32.4251091374379
S1,3,0.4,42.70660846003312
S1,3,0.5,51.40749661297607
S1,3,0.6,59.86000301068795
S1,3,0.7000000000000001,68.75658587987355
S1,3,0.8,78.74454312810477
S1,3,0.9,89.07120276983291
S1,4,0.1,12.149040270982312
S1,4,0.2,22.401204365826118
S1,4,0.30000000000000004,32.096349266089575
S1,4,0.4,42.6646593902898
S1,4,0.5,51.095220173127586
S1,4,0.6,60.143018441851716
S1,4,0.7000000000000001,69.25103500188182
S1,4,0.8,78.64508844561536
S1,4,0.9,88.9649981181784
S1,5,0.1,11.735922914784704
S1,5,0.2,21.86841312857573
S1,5,0.30000000000000004,32.27943390545017
S1,5,0.4,42.33664558867811
S1,5,0.5,51.09153869316471
S1,5,0.6,59.97440529960855
S1,5,0.7000000000000001,69.19602529358627
S1,5,0.8,78.72628726287263
S1,5,0.9,88.83619391749474
S2,1,0.1,10.844370860927151
S2,1,0.2,21.65863937387116
S2,1,0.30000000000000004,32.66104756170981
S2,1,0.4,42.76038531005418
S2,1,0.5,51.30192655027093
S2,1,0.6,59.519867549668874
S2,1,0.7000000000000001,68.6484045755569
S2,1,0.8,78.64990969295606
S2,1,0.9,89.03521974714027
S2,2,0.1,11.349439301572966
S2,2,0.2,21.893580191164297
S2,2,0.30000000000000004,32.49793030781967
S2,2,0.4,42.944231203431926
S2,2,0.5,51.57672913373974
S2,2,0.6,59.7576578610672
S2,2,0.7000000000000001,69.04493113569654
S2,2,0.8,78.57304131858207
S2,2,0.9,89.04192067434334
S2,3,0.1,11.470721059762155
S2,3,0.2,21.978021978021978
S2,3,0.30000000000000004,32.38747553816047
S2,3,0.4,42.751768779166035
S2,3,0.5,51.603191329218724
S2,3,0.6,59.73957549300015
S2,3,0.7000000000000001,68.77163931958452
S2,3,0.8,78.609062170706
S2,3,0.9,89.07120276983291
S2,4,0.1,12.096349266089575
S2,4,0.2,22.32593150169364
S2,4,0.30000000000000004,32.06624012043658
S2,4,0.4,42.86036883703425
S2,4,0.5,51.11780203236733
S2,4,0.6,60.293564170116674
S2,4,0.7000000000000001,69.09296198720362
S2,4,0.8,78.66014301844186
S2,4,0.9,88.76928867143394
S2,5,0.1,11.79614573923517
S2,5,0.2,21.99638663053297
S2,5,0.30000000000000004,32.37729599518217
S2,5,0.4,42.40439626618488
S2,5,0.5,51.0840108401084
S2,5,0.6,59.95182174043963
S2,5,0.7000000000000001,69.1358024691358
S2,5,0.8,78.83920505871725
S2,5,0.9,88.88136103583258
S3,1,0.1,10.799217338952438
S3,1,0.2,21.598434677904876
S3,1,0.30000000000000004,32.52558699578567
S3,1,0.4,42.685129440096325
S3,1,0.5,51.271824202287775
S3,1,0.6,59.46718844069837
S3,1,0.7000000000000001,68.3850090307044
S3,1,0.8,78.49187236604455
S3,1,0.9,89.08789885611078
S3,2,0.1,11.311808534657937
S3,2,0.2,21.697900203206142
S3,2,0.30000000000000004,32.309776473244526
S3,2,0.4,42.710920448558745
S3,2,0.5,51.61435990065477
S3,2,0.6,59.72002709415219
S3,2,0.7000000000000001,68.83419884097238
S3,2,0.8,78.44509671107097
S3,2,0.9,88.93655452698125
S3,3,0.1,11.508354659039592
S3,3,0.2,21.95544181845552
S3,3,0.30000000000000004,32.58317025440313
S3,3,0.4,42.74424205931055
S3,3,0.5,51.52792413066386
S3,3,0.6,59.62667469516785
S3,3,0.7000000000000001,68.80174619900647
S3,3,0.8,78.47358121330724
S3,3,0.9,88.86798133373476
S3,4,0.1,12.088821979676327
S3,4,0.2,22.160331200602183
S3,4,0.30000000000000004,32.35980429055326
S3,4,0.4,42.890477982687244
S3,4,0.5,51.155438464433566
S3,4,0.6,59.90214527662777
S3,4,0.7000000000000001,69.01016183665789
S3,4,0.8,78.65261573202861
S3,4,0.9,88.70907038012797
S3,5,0.1,11.788617886178862
S3,5,0.2,21.79313459801265
S3,5,0.30000000000000004,32.26437819933755
S3,5,0.4,42.570009033423666
S3,5,0.5,51.15928937067148
S3,5,0.6,59.65070761818729
S3,5,0.7000000000000001,69.19602529358627
S3,5,0.8,78.71123155676001
S3,5,0.9,88.64046973803072
S4,1,0.1,10.716435881998795
S4,1,0.2,21.605960264900663
S4,1,0.30000000000000004,32.5632149307646
S4,1,0.4,42.73780854906683
S4,1,0.5,51.20409391932571
S4,1,0.6,59.41450933172787
S4,1,0.7000000000000001,68.1667670078266
S4,1,0.8,78.43919325707405
S4,1,0.9,89.14057796508128
S4,2,0.1,11.311808534657937
S4,2,0.2,21.62263866937608
S4,2,0.30000000000000004,32.40009031384059
S4,2,0.4,42.82381274930383
S4,2,0.5,51.441258372845645
S4,2,0.6,59.712500940769175
S4,2,0.7000000000000001,68.69872808007827
S4,2,0.8,78.20425980281478
S4,2,0.9,88.95160683374728
S4,3,0.1,11.433087460484721
S4,3,0.2,21.880174619900647
S4,3,0.30000000000000004,32.72617793165738
S4,3,0.4,42.92488333584224
S4,3,0.5,51.52792413066386
S4,3,0.6,59.49119373776908
S4,3,0.7000000000000001,68.71895228059611
S4,3,0.8,78.51121481258467
S4,3,0.9,88.87550805359025
S4,4,0.1,12.051185547610087
S4,4,0.2,21.972149040270985
S4,4,0.30000000000000004,32.5555137372977
S4,4,0.4,42.74745954083553
S4,4,0.5,51.05758374106135
S4,4,0.6,59.90967256304103
S4,4,0.7000000000000001,68.77681595784719
S4,4,0.8,78.61497929996236
S4,4,0.9,88.67143394806173
S4,5,0.1,11.735922914784704
S4,5,0.2,21.74043962661849
S4,5,0.30000000000000004,32.422463113520024
S4,5,0.4,42.78831677205661
S4,5,0.5,51.2646793134598
S4,5,0.6,59.61306835290575
S4,5,0.7000000000000001,68.90243902439023
S4,5,0.8,78.74134296898525
S4,5,0.9,88.58024691358025
S5,1,0.1,10.573449729078868
S5,1,0.2,21.335039133052376
S5,1,0.30000000000000004,32.50301023479831
S5,1,0.4,42.639975918121614
S5,1,0.5,51.15141481035521
S5,1,0.6,59.30162552679109
S5,1,0.7000000000000001,68.09903672486453
S5,1,0.8,78.27363034316677
S5,1,0.9,89.05779650812762
S5,2,0.1,11.409648528637014
S5,2,0.2,21.562429442312034
S5,2,0.30000000000000004,32.505456461202684
S5,2,0.4,42.582975841047634
S5,2,0.5,51.275682998419505
S5,2,0.6,59.825393241514256
S5,2,0.7000000000000001,68.70625423346127
S5,2,0.8,78.30209979679385
S5,2,0.9,88.84624068638519
S5,3,0.1,11.425560740629233
S5,3,0.2,21.872647900045163
S5,3,0.30000000000000004,32.83907872948969
S5,3,0.4,42.82703597772091
S5,3,0.5,51.445130212253495
S5,3,0.6,59.40839981935873
S5,3,0.7000000000000001,68.81679963871746
S5,3,0.8,78.4961613728737
S5,3,0.9,88.83787445431281
S5,4,0.1,11.915694392171622
S5,4,0.2,22.01731275875047
S5,4,0.30000000000000004,32.5555137372977
S5,4,0.4,42.70229582235604
S5,4,0.5,50.989838163342114
S5,4,0.6,59.82687241249529
S5,4,0.7000000000000001,68.70154309371472
S5,4,0.8,78.64508844561536
S5,4,0.9,88.6036883703425
S5,5,0.1,11.690755796446853
S5,5,0.2,21.612466124661246
S5,5,0.30000000000000004,32.565492321589886
S5,5,0.4,42.577536886479976
S5,5,0.5,51.09906654622102
S5,5,0.6,59.62059620596206
S5,5,0.7000000000000001,68.87985546522131
S5,5,0.8,78.9747064137308
S5,5,0.9,88.64046973803072
S6,1,0.1,10.573449729078868
S6,1,0.2,21.43287176399759
S6,1,0.30000000000000004,32.480433473810955
S6,1,0.4,42.632450331125824
S6,1,0.5,51.106261288380495
S6,1,0.6,59.309151113786875
S6,1,0.7000000000000001,67.93347381095725
S6,1,0.8,78.23600240818784
S6,1,0.9,88.98254063816978
S6,2,0.1,11.319334688040943
S6,2,0.2,21.55490328892903
S6,2,0.30000000000000004,32.47535184767066
S6,2,0.4,42.628132761345675
S6,2,0.5,50.93700609618425
S6,2,0.6,59.39640249868292
S6,2,0.7000000000000001,68.65357115978024
S6,2,0.8,78.30962595017687
S6,2,0.9,88.70324377210808
S6,3,0.1,11.380400421496311
S6,3,0.2,21.812434141201265
S6,3,0.30000000000000004,32.74123137136836
S6,3,0.4,42.87972301670932
S6,3,0.5,51.21932861658889
S6,3,0.6,59.22023182297155
S6,3,0.7000000000000001,68.63615836218577
S6,3,0.8,78.48110793316273
S6,3,0.9,88.65723317778112
S6,4,0.1,11.73503951825367
S6,4,0.2,21.851712457659016
S6,4,0.30000000000000004,32.70605946556267
S6,4,0.4,42.56680466691758
S6,4,0.5,50.914565299209634
S6,4,0.6,59.4354535190064
S6,4,0.7000000000000001,68.58110651110275
S6,4,0.8,78.64508844561536
S6,4,0.9,88.56605193827625
S6,5,0.1,11.547726588376996
S6,5,0.2,21.544715447154474
S6,5,0.30000000000000004,32.61818729298404
S6,5,0.4,42.44956338452273
S6,5,0.5,50.94850948509485
S6,5,0.6,59.37970490816019
S6,5,0.7000000000000001,68.83468834688347
S6,5,0.8,78.98976211984342
S6,5,0.9,88.55766335441132
S7,1,0.1,10.58850090307044
S7,1,0.2,21.50812763395545
S7,1,0.30000000000000004,32.277242624924746
S7,1,0.4,42.47441300421433
S7,1,0.5,50.895544852498496
S7,1,0.6,59.06833232992174
S7,1,0.7000000000000001,67.7001806140879
S7,1,0.8,78.2059000602047
S7,1,0.9,88.78687537627935
S7,2,0.1,11.244073154210882
S7,2,0.2,21.351697147587867
S7,2,0.30000000000000004,32.55813953488372
S7,2,0.4,42.37976969970648
S7,2,0.5,50.93700609618425
S7,2,0.6,59.26845789117182
S7,2,0.7000000000000001,68.39015579137502
S7,2,0.8,77.8505305938135
S7,2,0.9,88.43230225031986
S7,3,0.1,11.244919464097547
S7,3,0.2,21.601685985247627
S7,3,0.30000000000000004,32.470269456570826
S7,3,0.4,42.63886798133373
S7,3,0.5,51.12148125846756
S7,3,0.6,58.85894926990818
S7,3,0.7000000000000001,68.47809724522054
S7,3,0.8,78.45100105374078
S7,3,0.9,88.49164534096042
S7,4,0.1,11.58449378998871
S7,4,0.2,21.82913059841927
S7,4,0.30000000000000004,32.5555137372977
S7,4,0.4,42.34851336093338
S7,4,0.5,50.79412871659766
S7,4,0.6,59.09672563041024
S7,4,0.7000000000000001,68.46819721490402
S7,4,0.8,78.44185171245766
S7,4,0.9,88.39292435077155
S7,5,0.1,11.419753086419753
S7,5,0.2,21.55977115326709
S7,5,0.30000000000000004,32.75368864799759
S7,5,0.4,42.088226437819934
S7,5,0.5,50.70761818729298
S7,5,0.6,59.17645287563986
S7,5,0.7000000000000001,68.4056007226739
S7,5,0.8,78.70370370370371
S7,5,0.9,88.48238482384824
S8,1,0.1,10.558398555087296
S8,1,0.2,21.447922937989166
S8,1,0.30000000000000004,32.2998193859121
S8,1,0.4,42.286273329319684
S8,1,0.5,50.66225165562914
S8,1,0.6,58.88771824202288
S8,1,0.7000000000000001,67.42173389524383
S8,1,0.8,78.05538832028898
S8,1,0.9,88.74172185430463
S8,2,0.1,11.10107623993377
S8,2,0.2,21.156017159629712
S8,2,0.30000000000000004,32.407616467223605
S8,2,0.4,42.30450816587642
S8,2,0.5,50.90690148265221
S8,2,0.6,59.08783020997967
S8,2,0.7000000000000001,68.17189734326786
S8,2,0.8,77.74516444645143
S8,2,0.9,88.37961917663883
S8,3,0.1,11.259972903808519
S8,3,0.2,21.57157910582568
S8,3,0.30000000000000004,32.59069697425862
S8,3,0.4,42.57865422248984
S8,3,0.5,50.92578654222489
S8,3,0.6,58.66325455366551
S8,3,0.7000000000000001,68.30498268854434
S8,3,0.8,78.48863465301822
S8,3,0.9,88.40885142255004
S8,4,0.1,11.494166353029733
S8,4,0.2,21.74633044787354
S8,4,0.30000000000000004,32.525404591644715
S8,4,0.4,42.11516748212269
S8,4,0.5,50.779074143771176
S8,4,0.6,58.94617990214528
S8,4,0.7000000000000001,68.22732404968009
S8,4,0.8,78.37410613473843
S8,4,0.9,88.4004516371848
S8,5,0.1,11.352002408912979
S8,5,0.2,21.394158386028305
S8,5,0.30000000000000004,32.45257452574526
S8,5,0.4,41.93014152363746
S8,5,0.5,50.594700391448356
S8,5,0.6,59.086118638964166
S8,5,0.7000000000000001,68.32279433905451
S8,5,0.8,78.49292381812707
S8,5,0.9,88.55766335441132
S9,1,0.1,10.633654425045155
S9,1,0.2,21.365141481035522
S9,1,0.30000000000000004,32.2998193859121
S9,1,0.4,42.12823600240819
S9,1,0.5,50.40638169777243
S9,1,0.6,58.744732089102946
S9,1,0.7000000000000001,67.18844069837448
S9,1,0.8,77.9425045153522
S9,1,0.9,88.63636363636364
S9,2,0.1,11.108602393316776
S9,2,0.2,21.148491006246708
S9,2,0.30000000000000004,32.39256416045759
S9,2,0.4,41.99593587717318
S9,2,0.5,50.87679686912019
S9,2,0.6,58.89967637540453
S9,2,0.7000000000000001,67.90095582147964
S9,2,0.8,77.64732445247235
S9,2,0.9,88.18393918868065
S9,3,0.1,11.312659942796929
S9,3,0.2,21.315670630739124
S9,3,0.30000000000000004,32.553063374981186
S9,3,0.4,42.352852626825225
S9,3,0.5,50.572030709017014
S9,3,0.6,58.58046063525516
S9,3,0.7000000000000001,67.8684329369261
S9,3,0.8,78.2703597772091
S9,3,0.9,88.22821014601836
S9,4,0.1,11.441475348136997
S9,4,0.2,21.580730146782084
S9,4,0.30000000000000004,32.34474971772676
S9,4,0.4,41.889348889725255
S9,4,0.5,50.274745954083556
S9,4,0.6,58.75799774181407
S9,4,0.7000000000000001,68.06925103500188
S9,4,0.8,78.25366955212645
S9,4,0.9,88.40797892359804
S9,5,0.1,11.246612466124661
S9,5,0.2,21.251129177958447
S9,5,0.30000000000000004,32.32460102378801
S9,5,0.4,41.809695874736526
S9,5,0.5,50.39144835892804
S9,5,0.6,58.76242095754291
S9,5,0.7000000000000001,67.968985245408
S9,5,0.8,78.54561878952123
S9,5,0.9,88.48991267690455
S10,1,0.1,10.580975316074653
S10,1,0.2,21.304936785069238
S10,1,0.30000000000000004,32.32992173389525
S10,1,0.4,42.0153521974714
S10,1,0.5,50.22576760987357
S10,1,0.6,58.54906682721253
S10,1,0.7000000000000001,66.95514750150512
S10,1,0.8,77.73178807947019
S10,1,0.9,88.6062612883805
S10,2,0.1,11.138707006848799
S10,2,0.2,20.967863325054566
S10,2,0.30000000000000004,32.362459546925564
S10,2,0.4,41.6497328215549
S10,2,0.5,50.61338150071498
S10,2,0.6,58.65131331376533
S10,2,0.7000000000000001,67.52464815232935
S10,2,0.8,77.39896139083314
S10,2,0.9,88.01083766087153
S10,3,0.1,11.147072105976216
S10,3,0.2,21.142556074062924
S10,3,0.30000000000000004,32.28962818003914
S10,3,0.4,42.096944151738676
S10,3,0.5,50.18816799638718
S10,3,0.6,58.30197200060214
S10,3,0.7000000000000001,67.5748908625621
S10,3,0.8,78.037031461689
S10,3,0.9,88.12283606804155
S10,4,0.1,11.321038765525028
S10,4,0.2,21.437711704930372
S10,4,0.30000000000000004,32.1942039894618
S10,4,0.4,41.640948438088074
S10,4,0.5,49.93601806548739
S10,4,0.6,58.712834023334594
S10,4,0.7000000000000001,67.98645088445615
S10,4,0.8,78.02032367331577
S10,4,0.9,88.3703424915318
S10,5,0.1,11.231556760012044
S10,5,0.2,21.205962059620596
S10,5,0.30000000000000004,32.21168322794339
S10,5,0.4,41.62149954832881
S10,5,0.5,49.98494429388739
S10,5,0.6,58.18277627220717
S10,5,0.7000000000000001,67.94640168623908
S10,5,0.8,78.34989461005722
S10,5,0.9,88.354411321891
S11,1,0.1,10.618603251053582
S11,1,0.2,21.131848284166168
S11,1,0.30000000000000004,32.21703792895846
S11,1,0.4,41.75948223961469
S11,1,0.5,49.92474413004214
S11,1,0.6,58.28567128236002
S11,1,0.7000000000000001,66.73690547862734
S11,1,0.8,77.46086694762191
S11,1,0.9,88.61378687537628
S11,2,0.1,11.070971626401747
S11,2,0.2,20.90012794460751
S11,2,0.30000000000000004,32.07646571837134
S11,2,0.4,41.07021901106344
S11,2,0.5,50.34243997892677
S11,2,0.6,58.16963949725296
S11,2,0.7000000000000001,67.32144201098819
S11,2,0.8,77.15059832919395
S11,2,0.9,88.04094227440356
S11,3,0.1,11.101911786843294
S11,3,0.2,20.84148727984344
S11,3,0.30000000000000004,32.018666265241606
S11,3,0.4,41.72813487881981
S11,3,0.5,49.73656480505795
S11,3,0.6,58.015956646093635
S11,3,0.7000000000000001,67.25124190877617
S11,3,0.8,77.76606954689147
S11,3,0.9,87.9196146319434
S11,4,0.1,11.208129469326309
S11,4,0.2,21.264584117425667
S11,4,0.30000000000000004,31.885585246518627
S11,4,0.4,41.129092961987205
S11,4,0.5,49.61234474971773
S11,4,0.6,58.42679713963116
S11,4,0.7000000000000001,67.54986827248777
S11,4,0.8,77.80955965374481
S11,4,0.9,88.17463304478736
S11,5,0.1,11.178861788617885
S11,5,0.2,21.077988557663353
S11,5,0.30000000000000004,32.023486901535684
S11,5,0.4,41.01927130382415
S11,5,0.5,49.58596808190304
S11,5,0.6,57.828967178560674
S11,5,0.7000000000000001,67.72056609454984
S11,5,0.8,78.19180969587474
S11,5,0.9,88.24902137910267
S12,1,0.1,10.633654425045155
S12,1,0.2,21.041541240216738
S12,1,0.30000000000000004,31.870860927152318
S12,1,0.4,41.45093317278748
S12,1,0.5,49.586092715231786
S12,1,0.6,57.99217338952438
S12,1,0.7000000000000001,66.63154726068633
S12,1,0.8,77.22004816375677
S12,1,0.9,88.49337748344371
S12,2,0.1,11.003236245954692
S12,2,0.2,20.794761797245428
S12,2,0.30000000000000004,31.7754195830511
S12,2,0.4,40.739068262211184
S12,2,0.5,49.97365846315948
S12,2,0.6,57.73312260103861
S12,2,0.7000000000000001,66.9752389553699
S12,2,0.8,76.9699706480018
S12,2,0.9,87.95815458719048
S12,3,0.1,11.056751467710372
S12,3,0.2,20.743639921722114
S12,3,0.30000000000000004,31.58964323347885
S12,3,0.4,41.22384464850219
S12,3,0.5,49.292488333584224
S12,3,0.6,57.617040493752825
S12,3,0.7000000000000001,66.79211199759145
S12,3,0.8,77.43489387325003
S12,3,0.9,87.77660695468916
S12,4,0.1,11.095220173127588
S12,4,0.2,21.06134738426797
S12,4,0.30000000000000004,31.644712081294696
S12,4,0.4,40.632292058712835
S12,4,0.5,49.21339856981558
S12,4,0.6,57.88483251787731
S12,4,0.7000000000000001,66.91004892736169
S12,4,0.8,77.72675950319909
S12,4,0.9,88.03161460293563
S12,5,0.1,11.02077687443541
S12,5,0.2,20.889792231255647
S12,5,0.30000000000000004,31.692261367058116
S12,5,0.4,40.65793435712135
S12,5,0.5,48.96115627822945
S12,5,0.6,57.414935260463714
S12,5,0.7000000000000001,67.5097862089732
S12,5,0.8,77.80788919000301
S12,5,0.9,88.15115928937067
B1,1,0.1,10.701384708007225
B1,1,0.2,21.410295003010233
B1,1,0.30000000000000004,32.04394942805539
B1,1,0.4,41.79711017459361
B1,1,0.5,50.496688741721854
B1,1,0.6,58.59422034918723
B1,1,0.7000000000000001,68.24954846478025
B1,1,0.8,78.81547260686334
B1,1,0.9,89.62974111980735
B1,2,0.1,10.958079325656657
B1,2,0.2,21.186121773161737
B1,2,0.30000000000000004,31.76036727628509
B1,2,0.4,41.83788665613005
B1,2,0.5,50.2521261383307
B1,2,0.6,58.61368254685031
B1,2,0.7000000000000001,68.36757733122602
B1,2,0.8,78.75366899977422
B1,2,0.9,89.59885602468577
B1,3,0.1,11.056751467710372
B1,3,0.2,21.187716393195846
B1,3,0.30000000000000004,31.68749059160018
B1,3,0.4,41.713081439108834
B1,3,0.5,50.69245822670481
B1,3,0.6,58.94926990817402
B1,3,0.7000000000000001,68.0340207737468
B1,3,0.8,78.62411561041698
B1,3,0.9,89.10130964925486
B1,4,0.1,11.042529168234852
B1,4,0.2,21.03876552502823
B1,4,0.30000000000000004,31.343620624764775
B1,4,0.4,41.791494166353026
B1,4,0.5,50.32743695897629
B1,4,0.6,59.17199849454272
B1,4,0.7000000000000001,68.64132480240873
B1,4,0.8,79.23221678584869
B1,4,0.9,88.89725254045916
B1,5,0.1,10.915386931647095
B1,5,0.2,21.13068352905751
B1,5,0.30000000000000004,30.93947606142728
B1,5,0.4,41.07196627521831
B1,5,0.5,50.21077988557663
B1,5,0.6,58.98072869617585
B1,5,0.7000000000000001,68.55615778380006
B1,5,0.8,79.22312556458898
B1,5,0.9,88.73080397470642
B2,1,0.1,10.611077664057797
B2,1,0.2,21.24473208910295
B2,1,0.30000000000000004,31.961167971101744
